Temperatura,Personas,Electrodomesticos,Consumo_kWh
23.286999626723468,3.0,7.0,47.271830966758316
17.457592836096694,2.0,20.0,
20.107484469705884,3.0,11.0,52.782694639418395
19.325422006122146,4.0,14.0,50.16549026342805
26.290366730358127,4.0,12.0,60.49961481897681
19.934950088426366,2.0,,37.65396161260991
24.490942922436414,2.0,13.0,47.67052405819754
32.05099623785993,3.0,19.0,66.06034329134367
28.31430772258827,5.0,,71.63061812082485
19.80392571566183,2.0,10.0,125.4304946034363
20.267810535056746,3.0,13.0,50.78850731022033
24.276598297786233,,10.0,40.52127918895885
13.65668646493184,5.0,6.0,42.58298720932429
17.689572524950936,1.0,20.0,53.480996856659125
24.464554240618707,3.0,9.0,47.35726600570781
21.37843301927257,5.0,8.0,47.46529244858368
31.67568143700171,4.0,11.0,54.6307446505001
18.907786725078058,1.0,12.0,34.294012340225066
16.765805068924713,5.0,14.0,45.52145609692444
17.55191205669899,2.0,7.0,32.6053794860693
22.07020268598564,5.0,14.0,60.482557456733666
21.19585156917108,1.0,11.0,42.129699021081116
,4.0,8.0,51.12996471226315
20.004421407372384,4.0,6.0,39.78386285935585
22.272222816822858,4.0,14.0,52.204373132410815
26.420909075975594,3.0,20.0,66.59377695176379
21.460097193285332,3.0,14.0,52.972206006056204
24.7780349212591,2.0,13.0,55.68605942924122
23.974533179750885,3.0,12.0,43.12825910865592
26.18602511323649,1.0,13.0,45.79167520210738
14.960609148017113,5.0,10.0,46.105787493493054
26.03924706817451,5.0,16.0,64.61596375150252
,5.0,9.0,49.17819276184662
22.93589292666998,2.0,18.0,53.00706365653921
20.06670932243301,5.0,19.0,66.97674327844456
30.295243648959964,5.0,8.0,52.674741138585894
11.764654344537387,5.0,7.0,
28.996584931530872,4.0,,76.05380186290007
18.60496439398904,3.0,14.0,52.9398006474158
29.644925672979795,5.0,11.0,
28.106079816267343,4.0,8.0,47.42091372840306
27.07494258391349,4.0,,67.22598269156143
26.140649911748504,4.0,12.0,47.73957879226551
33.33146354105096,2.0,16.0,65.63787894991532
19.025221649332856,3.0,13.0,51.83602620043318
19.09365231235792,5.0,6.0,39.600382148236754
18.720529269080668,5.0,8.0,
26.625744266784366,5.0,10.0,54.30235554545811
15.504193278745731,2.0,17.0,
27.055834336053806,4.0,12.0,55.46451927190378
20.557799086166632,2.0,14.0,
16.661434673223468,2.0,6.0,32.75311019936971
16.61199551221818,1.0,,46.970461075792535
18.01613118490294,1.0,7.0,33.49684747877996
14.569787090698068,3.0,12.0,41.58373316541562
24.570643828367782,2.0,16.0,53.57819365559124
26.258954322215352,3.0,18.0,64.14072476251278
26.79336718636715,,6.0,41.218289264183234
18.86757975436508,4.0,6.0,39.67560372550547
23.53965506437768,4.0,6.0,45.53900312189492
22.026028424677765,4.0,12.0,48.08837034059941
25.45765953821262,2.0,10.0,41.47474146924229
24.224310795386558,1.0,10.0,38.20527944709609
22.45139766245522,4.0,13.0,57.37953641582049
12.708285503299447,4.0,20.0,59.43972045807501
21.16709978040584,3.0,18.0,55.68642305003022
22.554382400687274,,10.0,41.54219057903389
18.526136779945034,1.0,5.0,29.14609212260299
20.654122170305097,4.0,8.0,46.12001996610331
15.503874249946097,5.0,13.0,51.206310965651305
20.394472764487052,1.0,16.0,47.56588301179195
24.529343710802323,5.0,5.0,50.51026733609671
32.44529785601982,3.0,15.0,63.22514804461961
16.93645372599861,4.0,18.0,57.35926068739361
21.880129648651746,4.0,20.0,63.39866750915531
17.192654749807296,1.0,14.0,38.679687543864375
21.537169055167038,3.0,8.0,37.646824633072505
20.88133959433403,2.0,19.0,58.01433696420821
26.16446081049666,2.0,11.0,49.338219090385145
26.87059789195203,3.0,10.0,49.15522036854397
22.814090788490503,2.0,8.0,39.20023202594662
21.427539899478322,3.0,6.0,37.89847598170992
27.932342163083227,2.0,5.0,39.96759028964607
22.898958254315893,4.0,17.0,62.73442942205251
29.582208088167427,3.0,12.0,
,4.0,5.0,30.624445060336825
30.909854504978828,3.0,20.0,67.11533536119724
18.911361495564062,4.0,13.0,52.63136231708798
16.568003535706218,1.0,10.0,36.54950581959708
21.77623335997644,1.0,14.0,44.61972393970144
16.181487901258716,1.0,6.0,27.164554075303073
24.844697475021093,,10.0,51.89186187264848
19.68678072229787,3.0,8.0,42.52147412943322
23.436775524162638,1.0,16.0,49.57551525899841
17.11330644580856,,5.0,43.363350627483264
20.887818707820333,1.0,14.0,
22.48465883940098,5.0,17.0,66.6466329604155
21.058078255597604,5.0,20.0,
29.958010791864723,3.0,7.0,43.93833466918431
24.92905413637391,4.0,,53.411067676022746
23.01837696007521,1.0,20.0,53.955512628503364
,1.0,16.0,41.94774515112075
23.89094728085232,5.0,8.0,47.58416451528202
28.18070157585835,5.0,17.0,69.11362278331521
18.55014098232485,1.0,15.0,46.491842444578566
21.008226538941265,5.0,8.0,49.898943338600475
6.871300635387001,2.0,17.0,43.204142264665364
15.771868882941318,3.0,13.0,39.82790231863699
11.579802642433393,4.0,12.0,42.57949907010236
22.520608231463125,3.0,5.0,33.02146066623718
21.248832529643344,1.0,6.0,29.504360325397293
,2.0,15.0,
19.81522930512068,4.0,17.0,55.26913867990727
27.09568158132616,1.0,16.0,59.53113447571256
15.835983868345139,4.0,9.0,37.426219451856085
21.62937730850278,2.0,,38.608980569919744
24.981945913757702,1.0,11.0,46.05868134397181
21.103037189343652,4.0,10.0,
21.546024661128236,2.0,16.0,54.312989362646086
17.874601855421783,1.0,8.0,33.594504528029574
,1.0,19.0,51.420463340147236
,3.0,13.0,53.54578426254501
11.902689076606702,3.0,11.0,35.454750243651134
21.209854754844297,3.0,20.0,66.05175473071974
19.07892435963903,1.0,20.0,56.291135250706944
21.648467511427675,4.0,5.0,37.8056425782316
30.865906150130378,5.0,15.0,
19.76685353706306,2.0,19.0,55.38623889973256
29.446872893045818,3.0,16.0,59.22906970309549
27.50154360686366,4.0,19.0,66.00892806339903
22.149481589770712,3.0,11.0,49.029802206349196
22.435529054583135,5.0,14.0,60.84607568479264
22.906174710958062,5.0,7.0,147.65735186718007
17.874141014063866,1.0,18.0,51.09789686691622
25.134193834510206,4.0,18.0,67.19329005887846
18.936510764508046,1.0,7.0,28.88007120421204
22.178711677585348,3.0,7.0,37.96202159896909
11.020186942534348,2.0,11.0,31.60812227468653
17.68358655335806,4.0,12.0,51.291965250679965
24.67549681519709,2.0,18.0,54.59985701661023
16.38268352394346,5.0,20.0,62.07260652627297
23.669825463606763,3.0,20.0,
19.463847723929916,2.0,13.0,44.9421637511982
,5.0,7.0,53.17764422530312
28.289719844360828,5.0,16.0,65.96639175650479
22.888124593572844,4.0,,53.42128173950275
21.92566291771388,1.0,20.0,54.66279130455627
22.202180571635495,4.0,12.0,56.573429493823525
21.89277615178028,5.0,19.0,60.37330690442029
27.95828291498208,4.0,10.0,53.48626050279874
34.52432342651224,1.0,8.0,46.15223995323842
15.332694366125255,3.0,18.0,53.94697021505031
16.858636731562783,4.0,14.0,57.758158716043944
28.815848320433133,1.0,20.0,62.74814764593586
16.28862703253627,4.0,8.0,35.95167170544224
15.139872675437543,1.0,14.0,35.61983830639777
32.576857177582475,5.0,12.0,65.57837118926345
20.628625572474707,2.0,7.0,38.78459318264444
20.749272883293873,2.0,7.0,36.596879052043384
19.455848000338886,2.0,5.0,24.841216471081346
24.906703647042086,3.0,19.0,66.78290900910133
16.334499596944738,5.0,7.0,43.684152616734295
30.871946122936585,2.0,18.0,61.70998803939374
25.765231620013207,2.0,15.0,56.83523609756594
21.740998841160497,5.0,12.0,53.06337290704934
19.241472002694568,2.0,12.0,47.02566002228645
22.541284700298363,3.0,5.0,36.3293428879009
27.21984825712198,1.0,17.0,56.87215262589835
35.08721314318104,2.0,13.0,57.89323014041332
29.543841871794967,3.0,10.0,
27.064512435363334,2.0,10.0,49.38976062791851
22.215228702736955,4.0,18.0,63.42379115972989
28.162523053193105,2.0,8.0,41.422641144048086
20.26794579530901,,10.0,48.998110807472074
23.65941691719826,5.0,13.0,59.599447509804996
27.85347964192703,3.0,7.0,43.297718078675615
25.033868458592597,4.0,14.0,51.584587887349414
18.67653503617509,4.0,15.0,51.6248272614963
14.33613063199459,4.0,6.0,33.82375065044068
24.507483048262763,2.0,13.0,50.92300210516334
22.673182198124575,1.0,8.0,36.665222306549495
26.64994884280202,5.0,17.0,
22.289447308815934,2.0,10.0,35.549286369305065
20.10208183233698,3.0,6.0,36.00220758445642
27.26976551898769,4.0,19.0,
26.98156676542311,4.0,8.0,47.356632404363545
11.454032909816165,2.0,,52.12718226421476
14.404421975793738,2.0,8.0,29.0453677212203
22.649173127887376,3.0,8.0,41.53197623125785
21.673810661204097,5.0,16.0,60.09549232447337
21.0650747509518,,10.0,46.59587497271171
26.119662491208867,3.0,7.0,43.13023165041897
32.077492074804994,5.0,18.0,67.22978753265102
16.842759333529514,5.0,13.0,56.01451428835616
21.662411118621154,1.0,20.0,57.88748490380166
21.87309220801517,3.0,20.0,60.039399336997334
23.026465974159773,5.0,9.0,46.13201868726564
15.881801344821184,4.0,,41.32281928363689
24.337149391699896,2.0,12.0,47.09829977879253
22.183505078519815,,20.0,57.27343029373364
32.19449682468828,4.0,11.0,58.206734060526024
,3.0,17.0,57.70629006400012
18.49736222457566,4.0,15.0,58.049685933445716
14.514226465623516,3.0,20.0,59.551749273639246
21.51027642131087,2.0,19.0,55.81709467226027
18.251752032783635,2.0,8.0,35.4446701672432
19.881646558220286,5.0,11.0,52.53475399347086
23.728262294413064,2.0,15.0,54.08977094402029
23.175089012842644,5.0,13.0,58.51765630375102
22.969502588754928,,6.0,39.88114644832103
28.961312746444623,2.0,16.0,60.303332574775254
24.039778465385226,3.0,,41.188620776881706
35.56740127846852,4.0,15.0,69.75500972835259
22.806674625207563,2.0,9.0,
19.965519048470476,4.0,20.0,64.80360849769718
,5.0,5.0,42.88907697191347
15.428142264689258,5.0,16.0,54.560833078990115
26.534075712512376,2.0,17.0,63.823423393731545
25.244661643165557,5.0,,
21.551506370336348,1.0,15.0,
20.87810592892459,5.0,13.0,55.33324990706487
17.561975763987867,1.0,13.0,36.1021579524425
21.16816210020252,3.0,6.0,37.23838143449381
22.61744487053413,2.0,18.0,52.77031617491121
11.911570495647819,1.0,7.0,29.36941032478449
25.62596553568358,2.0,11.0,49.71120868042006
11.86378069757391,2.0,11.0,33.25845773417664
23.68489165724499,,19.0,63.620958139715015
